,Film,Year,Award,Nomination
418,Franz Kafka's It's a Wonderful Life,1994,1,1
419,Maya Lin: A Strong Clear Vision,1994,1,1
420,Burnt by the Sun,1994,1,1
421,Trevor,1994,1,1
422,"The Adventures of Priscilla, Queen of the Desert",1994,1,1
423,Bob's Birthday,1994,1,1
424,Blue Sky,1994,1,1
425,Schindler's List,1993,7,12
426,The Piano,1993,3,8
427,Jurassic Park,1993,3,3
428,Philadelphia,1993,2,5
429,The Fugitive,1993,1,7
430,The Age of Innocence,1993,1,5
431,The Wrong Trousers,1993,1,1
432,Belle Epoque,1993,1,1
433,I Am a Promise: The Children of Stanton Elementary School,1993,1,1
434,Mrs. Doubtfire,1993,1,1
435,Black Rider,1993,1,1
436,Defending Our Lives,1993,1,1
437,Unforgiven,1992,4,9
438,Howards End,1992,3,9
439,Bram Stoker's Dracula,1992,3,4
440,Aladdin,1992,2,5
441,The Crying Game,1992,1,6
442,Scent of a Woman,1992,1,4
443,A River Runs Through It,1992,1,3
444,Indochine,1992,1,2
445,My Cousin Vinny,1992,1,1
446,The Panama Deception,1992,1,1
447,Educating Peter,1992,1,1
448,The Last of the Mohicans,1992,1,1
449,Death Becomes Her,1992,1,1
450,Omnibus,1992,1,1
451,Mona Lisa Descending a Staircase,1992,1,1
452,The Silence of the Lambs,1991,5,7
453,Terminator 2: Judgment Day,1991,4,6
454,Bugsy,1991,2,10
455,JFK,1991,2,8
456,Beauty and the Beast,1991,2,6
457,Thelma &amp; Louise,1991,1,6
458,The Fisher King,1991,1,5
459,In the Shadow of the Stars,1991,1,1
460,Manipulation,1991,1,1
461,Mediterraneo,1991,1,1
462,Session Man,1991,1,1
463,City Slickers,1991,1,1
464,"Deadly Deception: General Electric, Nuclear Weapons and Our Environment",1991,1,1
465,Dances with Wolves,1990,7,12
466,Dick Tracy,1990,3,7
467,Ghost,1990,2,5
468,Goodfellas,1990,1,6
469,The Hunt for Red October,1990,1,3
470,Reversal of Fortune,1990,1,3
471,Cyrano de Bergerac,1990,1,5
472,American Dream,1990,1,1
473,Journey of Hope,1990,1,1
474,Days of Waiting,1990,1,1
475,Creature Comforts,1990,1,1
476,The Lunch Date,1990,1,1
477,Misery,1990,1,1
478,Total Recall,1990,0,2
479,Driving Miss Daisy,1989,4,9
480,Glory,1989,3,5
481,Born on the Fourth of July,1989,2,8
482,My Left Foot,1989,2,5
483,The Little Mermaid,1989,2,3
484,Dead Poets Society,1989,1,4
485,The Abyss,1989,1,4
486,Indiana Jones and the Last Crusade,1989,1,3
487,Henry V,1989,1,3
488,The Johnstown Flood,1989,1,1
489,Common Threads: Stories from the Quilt,1989,1,1
490,Cinema Paradiso,1989,1,1
491,Work Experience,1989,1,1
492,Batman,1989,1,1
493,Balance,1989,1,1
494,Rain Man,1988,4,8
495,Dangerous Liaisons,1988,3,7
496,Who Framed Roger Rabbit,1988,3,6
497,Mississippi Burning,1988,1,7
498,Working Girl,1988,1,6
499,The Accidental Tourist,1988,1,4
500,A Fish Called Wanda,1988,1,3
501,Pelle the Conqueror,1988,1,2
502,The Accused,1988,1,1
503,The Appointments of Dennis Jennings,1988,1,1
504,Beetlejuice,1988,1,1
505,Bird,1988,1,1
506,Hôtel Terminus: The Life and Times of Klaus Barbie,1988,1,1
507,The Milagro Beanfield War,1988,1,1
508,Tin Toy,1988,1,1
509,You Don't Have to Die,1988,1,1
510,The Last Emperor,1987,9,9
511,Moonstruck,1987,3,6
512,The Untouchables,1987,1,4
513,Babette's Feast,1987,1,1
514,Dirty Dancing,1987,1,1
515,Harry and the Hendersons,1987,1,1
516,Innerspace,1987,1,1
517,The Man Who Planted Trees,1987,1,1
518,Ray's Male Heterosexual Dance Hall,1987,1,1
519,The Ten-Year Lunch,1987,1,1
520,Wall Street,1987,1,1
521,Young at Heart,1987,1,1
522,RoboCop,1987,0,2
523,Platoon,1986,4,8
524,A Room with a View,1986,3,8
525,Hannah and Her Sisters,1986,3,7
526,Aliens,1986,2,7
527,The Mission,1986,1,7
528,Children of a Lesser God,1986,1,5
529,The Color of Money,1986,1,4
530,Top Gun,1986,1,4
531,Round Midnight,1986,1,2
532,Artie Shaw: Time Is All You've Got,1986,1,1
533,The Assault,1986,1,1
534,Down and Out in America,1986,1,1
535,The Fly,1986,1,1
536,A Greek Tragedy,1986,1,1
537,Precious Images,1986,1,1
538,"Women – for America, for the World",1986,1,1
539,Out of Africa,1985,7,11
540,Witness,1985,2,8
541,Cocoon,1985,2,2
542,Prizzi's Honor,1985,1,8
543,Back to the Future,1985,1,4
544,Kiss of the Spider Woman,1985,1,4
545,Ran,1985,1,4
546,The Official Story,1985,1,2
547,The Trip to Bountiful,1985,1,2
548,White Nights,1985,1,2
549,Anna &amp; Bella,1985,1,1
550,Broken Rainbow,1985,1,1
551,Mask,1985,1,1
552,Molly's Pilgrim,1985,1,1
553,Witness to War: Dr. Charlie Clements,1985,1,1
554,Amadeus,1984,8,11
555,The Killing Fields,1984,3,7
556,A Passage to India,1984,2,11
557,Places in the Heart,1984,2,7
558,Indiana Jones and the Temple of Doom,1984,1,2
559,Charade,1984,1,1
560,Dangerous Moves,1984,1,1
561,Purple Rain,1984,1,1
562,The Stone Carvers,1984,1,1
563,The Times of Harvey Milk,1984,1,1
564,Up,1984,1,1
565,The Woman in Red,1984,1,1
566,The River,1984,0,4
567,Terms of Endearment,1983,5,11
568,The Right Stuff,1983,4,8
569,Fanny &amp; Alexander,1983,4,6
570,Tender Mercies,1983,2,5
571,Yentl,1983,1,5
572,Flashdance,1983,1,4
573,Boys and Girls,1983,1,1
574,Flamenco at 5:15,1983,1,1
575,He Makes Me Feel Like Dancin',1983,1,1
576,Sundae in New York,1983,1,1
577,The Year of Living Dangerously,1983,1,1
578,Return of the Jedi,1983,0,4
579,Gandhi,1982,8,11
580,E.T.: The Extra-Terrestrial,1982,4,9
581,An Officer and a Gentleman,1982,2,6
582,Tootsie,1982,1,10
583,Victor/Victoria,1982,1,7
584,Sophie's Choice,1982,1,5
585,Missing,1982,1,4
586,If You Love This Planet,1982,1,1
587,Just Another Missing Kid,1982,1,2
588,A Shocking Accident,1982,1,1
589,Tango,1982,1,1
590,To Begin Again,1982,1,1
591,Quest for Fire,1982,1,1
592,Chariots of Fire,1981,4,7
593,Raiders of the Lost Ark,1981,4,8
594,Reds,1981,3,12
595,On Golden Pond,1981,3,10
596,Arthur,1981,2,4
597,An American Werewolf in London,1981,1,1
598,Close Harmony,1981,1,1
599,Crac,1981,1,1
600,Genocide,1981,1,1
601,Mephisto,1981,1,1
602,Violet,1981,1,1
603,Ordinary People,1980,4,6
604,Tess,1980,3,6
605,Raging Bull,1980,2,8
606,Fame,1980,2,6
607,Melvin and Howard,1980,2,3
608,Coal Miner's Daughter,1980,1,7
609,The Empire Strikes Back,1980,1,3
610,The Dollar Bottom,1980,1,1
611,The Fly,1980,1,1
612,From Mao to Mozart: Isaac Stern in China,1980,1,1
613,Karl Hess: Toward Liberty,1980,1,1
614,Moscow Does Not Believe in Tears,1980,1,1
615,Kramer vs. Kramer,1979,5,9
616,All That Jazz,1979,4,9
617,Apocalypse Now,1979,2,8
618,Norma Rae,1979,2,4
619,Breaking Away,1979,1,5
620,Alien,1979,1,2
621,Being There,1979,1,2
622,A Little Romance,1979,1,2
623,Best Boy,1979,1,1
624,Board and Care,1979,1,1
625,Every Child,1979,1,1
626,Paul Robeson: Tribute to an Artist,1979,1,1
627,The Tin Drum,1979,1,1
628,The Black Stallion,1979,0,2
629,The Deer Hunter,1978,5,9
630,Coming Home,1978,3,8
631,Midnight Express,1978,2,6
632,Heaven Can Wait,1978,1,9
633,Days of Heaven,1978,1,4
634,California Suite,1978,1,3
635,The Buddy Holly Story,1978,1,3
636,Death on the Nile,1978,1,1
637,The Flight of the Gossamer Condor,1978,1,1
638,Get Out Your Handkerchiefs,1978,1,1
639,Scared Straight!,1978,1,1
640,Special Delivery,1978,1,1
641,Teenage Father,1978,1,1
642,Thank God It's Friday,1978,1,1
643,Superman,1978,0,3
644,Annie Hall,1977,4,5
645,Star Wars,1977,6,10
646,Julia,1977,3,11
647,Close Encounters of the Third Kind,1977,1,8
648,The Goodbye Girl,1977,1,5
649,A Little Night Music,1977,1,2
650,Gravity Is My Enemy,1977,1,1
651,I'll Find a Way,1977,1,1
652,Madame Rosa,1977,1,1
653,The Sand Castle,1977,1,1
654,Who Are the DeBolts? And Where Did They Get Nineteen Kids?,1977,1,1
655,You Light Up My Life,1977,1,1
656,Rocky,1976,3,10
657,Network,1976,4,10
658,All the President's Men,1976,4,8
659,Bound for Glory,1976,2,6
660,A Star Is Born,1976,1,4
661,Fellini's Casanova,1976,1,2
662,The Omen,1976,1,2
663,Black and White in Color,1976,1,1
664,"Harlan County, USA",1976,1,1
665,In the Region of Ice,1976,1,1
666,Leisure,1976,1,1
667,Number Our Days,1976,1,1
668,King Kong,1976,0,2
669,Logan's Run,1976,0,2
670,One Flew Over the Cuckoo's Nest,1975,5,9
671,Barry Lyndon,1975,4,7
672,Jaws,1975,3,4
673,Dog Day Afternoon,1975,1,6
674,Nashville,1975,1,5
675,Shampoo,1975,1,4
676,The Sunshine Boys,1975,1,4
677,Angel and Big Joe,1975,1,1
678,Dersu Uzala,1975,1,1
679,The End of the Game,1975,1,1
680,Great,1975,1,1
681,The Man Who Skied Down Everest,1975,1,1
682,The Hindenburg,1975,0,3
683,The Godfather: Part II,1974,6,11
684,The Towering Inferno,1974,3,8
685,The Great Gatsby,1974,2,2
686,Chinatown,1974,1,11
687,Murder on the Orient Express,1974,1,6
688,Earthquake,1974,1,4
689,Alice Doesn't Live Here Anymore,1974,1,3
690,Amarcord,1974,1,3
691,Harry and Tonto,1974,1,2
692,Closed Mondays,1974,1,1
693,Don't,1974,1,1
694,Hearts and Minds,1974,1,1
695,One-Eyed Men Are Kings,1974,1,1
696,The Sting,1973,7,10
697,The Exorcist,1973,2,10
698,The Way We Were,1973,2,6
699,Cries and Whispers,1973,1,5
700,A Touch of Class,1973,1,5
701,Day for Night,1973,1,4
702,Paper Moon,1973,1,4
703,The Paper Chase,1973,1,3
704,Save the Tiger,1973,1,3
705,The Bolero,1973,1,1
706,Frank Film,1973,1,1
707,The Great American Cowboy,1973,1,1
708,Princeton: A Search for Answers,1973,1,1
709,The Godfather,1972,3,4
710,Cabaret,1972,8,10
711,The Poseidon Adventure,1972,1,8
712,Travels with My Aunt,1972,1,4
713,Butterflies Are Free,1972,1,3
714,The Candidate,1972,1,2
715,The Discreet Charm of the Bourgeoisie,1972,1,2
716,A Christmas Carol,1972,1,5
717,Limelight,1972,1,6
718,Marjoe,1972,1,1
719,Norman Rockwell's World... An American Dream,1972,1,1
720,This Tiny World,1972,1,1
721,The French Connection,1971,5,8
722,Fiddler on the Roof,1971,3,8
723,The Last Picture Show,1971,2,8
724,Nicholas and Alexandra,1971,2,6
725,Sentinels of Silence,1971,2,2
726,Bedknobs and Broomsticks,1971,1,5
727,Summer of '42,1971,1,4
728,The Garden of the Finzi-Continis,1971,1,2
729,The Hospital,1971,1,2
730,Klute,1971,1,2
731,Shaft,1971,1,2
732,The Crunch Bird,1971,1,1
733,The Hellstrom Chronicle,1971,1,1
734,Patton,1970,7,10
735,Ryan's Daughter,1970,2,4
736,Airport,1970,1,10
737,Love Story,1970,1,7
738,M*A*S*H,1970,1,5
739,Tora! Tora! Tora!,1970,1,5
740,Women in Love,1970,1,4
